,edit_history_tweet_ids,id,text,topic
86,['1597437418789277697'],1597437418789277697,"Sim. Mas aquele espúria do filho dele, Eduardo Bolsonaro, em  hipótese alguma!!! Espero que o povo não se esqueça nas próximas eleições!! https://t.co/X52WoMLYg0",Bolsonaro
87,['1597437417937829888'],1597437417937829888,@pttank2020 @palpiteiroprofi Grave: Generais estavam passando informações p Alexandre de Moraes sobre reuniões c Bolsonaro através d chefe d gabinete. Informação d jornalista Paulo Figueiredo da @JovemPanNews. Paulo é neto d Gen. Figueiredo e tem bons relacionamentos na área militar.  https://t.co/rw0nYV1kUS,Bolsonaro
88,['1597437411541549056'],1597437411541549056,"@MariluPamc @RomuloBDias Fiquem firmes bando de PATRIDIOSTAS kkkkkkk 🐄🍼🤡🐄🐄🐄🐄
ANISTIA NÃO
ANISTIA NÃO
BOLSONARO NA CADEIA
BOLSONARO NA CADEIA
ANISTIA NÃO
BOLSONARO NA CADEIA
MALAFAIA NA CADEIA
TERRORISTAS DO BOLSONARO
GOLPISTAS NA CADEIA
TCHAU QUERIDO 
BOLSONARO QUEBROU O BRASIL
BOLSONARISMO MATA",Bolsonaro
89,['1597437411155640320'],1597437411155640320,@NikoIasFerreira Estou om Bolsonaro pro que der e viver.,Bolsonaro
90,['1597437399067303937'],1597437399067303937,Deve ser o mesmo que mandou Matar Bolsonaro e que matou Celso Daniel e suas testemunhas e outros https://t.co/LtN7meG1W5,Bolsonaro
91,['1597437398345863168'],1597437398345863168,"@PaolaDeboche Estão tentando fazer igual o bolsonaro no lance da facada pra ganhar KKK Essa doida estava tão bêbada , caiu de de bêbada no chão , e agora vem com essa de que sofreu ataques? Kkk ela que estava atacando o povo do bar.",Bolsonaro
92,['1597437395808718849'],1597437395808718849,O @uol é um site politicamente tendencioso e tem que ser boicotado em nome da moral e da saúde mental da população. #BolsonaroReeleito #Bolsonaro2022 #BolsonaroPresidente22 #Bolsonaro,Bolsonaro
93,['1597437387822759936'],1597437387822759936,"Só falta essa galera entender, que esse pessoal que está nas ruas, nos quartéis, de nada tem a ver com Bolsonaro, ou Eduardo Bolsonaro e afins!! Esse povo, é o mesmo que foi pras ruas derrubar Dilma Rousseff, é um movimento Anti-PT. Não é por Bolsonaro!! É pelo Brasil 🇧🇷💚💛",Bolsonaro
94,['1597437371276201984'],1597437371276201984,"Fiquem firmes bando de PATRIDIOSTAS kkkkkkk 🐄🍼🤡🐄🐄🐄🐄
ANISTIA NÃO
ANISTIA NÃO
BOLSONARO NA CADEIA
BOLSONARO NA CADEIA
ANISTIA NÃO
BOLSONARO NA CADEIA
MALAFAIA NA CADEIA
TERRORISTAS DO BOLSONARO
GOLPISTAS NA CADEIA
TCHAU QUERIDO 
BOLSONARO QUEBROU O BRASIL
BOLSONARISMO MATA https://t.co/QvgLEJrCsH",Bolsonaro
95,['1597437357287882753'],1597437357287882753,"@GugaNoblat Não é pelo Bolsonaro seu mané! É pelo Brasil!! 🇧🇷 
A estratégia que vocês usam para dividir, já não funciona mais!
#ogiganteacordou",Bolsonaro
96,['1597437352464744448'],1597437352464744448,@marcosdgb1 @BolsonaroSP Isso não importa. Eduardo Bolsonaro é só o filho (ponto final).,Bolsonaro
97,['1597437316213387265'],1597437316213387265,"@senadorhumberto Não meu querido 🙄 vc está enganado...antes do Bolsonaro teve a Dilma, e antes da Dilma teve o Lula por algum tempo. Veio destruído de lá!! Bolsonaro só fez foi consertar a cagada que vcs fizeram!! Se esconde pq tá passando vergonha 🙆🏼‍♀️",Bolsonaro
98,['1597437315320008704'],1597437315320008704,"@Rconstantino Estou lutando pelo Brasil e não importa o que os filhos do Bolsonaro fazem da vida deles, eles não são o presidente.",Bolsonaro
99,['1597437304419028992'],1597437304419028992,"Imprensa descobriu rapidamente o preço da camisa da Janja, diária de hotel de Lula.

Mas falar onde Eduardo Bolsonaro está hospedado no Catar, custo da viagem, quem bancou e porque ele está lá quando devia estar dando expediente no Congresso? 

Nem uma palavra.",Bolsonaro
100,['1597432163565461504'],1597432163565461504,estou sem crer que hoje parei pra reproduzir a foto da Carla zambelli https://t.co/fSnMKZXDg8,Carla Zambelli
101,['1597430727968428037'],1597430727968428037,"@realpfigueiredo @PatinhuLoL Mano, na boa até acho vc um cara do bem, mas vc tá se mostrando um ""MORDE E ASSOPRA"" no caso o ASSOPRO veio antes. Carla Zambelli dando falsas esperanças ao povo, @jairbolsonaro q ñ tem coragem de se pronunciar e dizer a sua militância q o SISTEMA venceu.",Carla Zambelli
102,['1597428399655780353'],1597428399655780353,@oandarilhodoceu Se o Lula tivesse defendido a cloroquina a Carla Zambelli da esquerda tinha ido atrás tbm,Carla Zambelli
103,['1597425182238732288'],1597425182238732288,@SelmaCesar3 Com certeza essa viagem dele e da Carla zambelli não foi em vão.,Carla Zambelli
104,['1597424806840135680'],1597424806840135680,CASSAÇÃO DE CARLA ZAMBELLI https://t.co/YsYy6dOFU7 #peticaopublica #peticao via @peticaopublicab,Carla Zambelli
105,['1597421212430630913'],1597421212430630913,"@fabifbbr Eduardo Bolsonaro no Catar
Carla Zambelli em Miami
Malafaia em um Resort
E os generais com super salários de até um milhão
👏👏👏👏👏👏👏",Carla Zambelli
106,['1597420533569957888'],1597420533569957888,"@IcaroSCII Regiane Duarte é uma velha desvairada louca. Infelizmente a personagem tá mais pra Carla Zambelli, que tem poder nas mãos, muita gente apoiando e por isso é muito mais perigosa e não se preocupa em perseguir um negro na rua apontando uma arma pra ele",Carla Zambelli
107,['1597419900250644480'],1597419900250644480,"Direita está bem Nutella. Só hoje quiseram cancelar @CanalHipocritas carla zambelli , @BolsonaroSP e outros fortes do movimento

E alguns generais.

A esquerda não conseguiu por outros meios e plantou semente q minou.

União e observação nesse momento.

Fogo amigo é bem pior",Carla Zambelli
108,['1597413587135660032'],1597413587135660032,"@Pietra_SP Como a Zoe Martinez lembrou... Jogaram bola com a cabeça do presidente Bolsonaro, jornalista atacou a filha de 12 anos dele no dia do aniversário dela, lulistas tentaram agredir a deputada Carla zambelli e não teve esse Xororo todo",Carla Zambelli
109,['1597412521476247552'],1597412521476247552,"@ajovem_patriota Principalmente, o bananinha, Carla Zambelli de saias, deputag.",Carla Zambelli
110,['1597407055500886017'],1597407055500886017,"@DNRGNMITA Pra mim é indiferente, estamos na frente dos QGs pelo BRASIL, por nossos filhos, pelo futuro e não por políticos ! Até agora, com exceção da Carla Zambelli, não vi nenhum parlamentar.",Carla Zambelli
111,['1597406949905403905'],1597406949905403905,@NdiaBaptistell3 Ele é de confiança. Sem contar que ele estava junto com Carla Zambelli em Washington levando todas denúncias. Direita não ataca direita. Tenham maturidade. Sem contar que ele é neto do João Figueiredo. Parem de atacar a direita.,Carla Zambelli
112,['1597402174610636800'],1597402174610636800,"a galera cloroquiner acampada debaixo de sol e chuva na frente dos quartéis, enquanto carla zambelli foi fazer compras em Miami e bananinha foi para catar.

lembrando que para sair do país, os deputados precisam justificar a viagem e pedir autorização. 
mais um acinte https://t.co/j3SJKYzYCF",Carla Zambelli
